Alimento,Calorias,Grasas,Proteinas,Carbohidratos
ARROZ CON LECHE,283.0,4,6,53
PUDIN,230.0,8,9,30
PASTEL DE CHOCOLATE,439.0,27,5,41
FLAUTAS,181.0,9,18,6
MOLLETE,282.0,10,14,34
PAN FRANCES,213.0,6,7,32
LANGOSTA,180.0,14,7,7
ENTOMATADA,311.0,17,12,29
AGUACHILE,235.0,9,25,16
FRESAS CON CREMA,630.0,7,3,22
TWINKIE,150.0,5,1,24
PAELLA,392.0,9,9,66
NUTELLA,250.0,15,9,16
PALETA MAGNUM,290.0,20,3,25
PALETA PAYASO,185.0,3,1,36
PANDITAS,100.0,2,1,17
MAZAPAN,130.0,5,3,18
BONICE,100.0,1,1,22
POP TARS,129.0,3,19,5
CHURRUMAIS,270.0,14,3,33
NEGRITO,244.0,9,2,35
BARBACOA,625.0,30,46,45
MOLE,625.0,13,19,49
SUNDAE,1090.0,40,15,171
ROCKSTAR,130.0,0,0,32
SOPES,120.0,0,3,27
RUFFLES,120.0,3,2,22
PEPSI,250.0,0,0,69
BIG MAC,520.0,28,24,45
SUBWAY CLUB SANDWICH,480.0,23,22,45
STROGONOFF DE POLLO,389.0,22,32,14
CLAMATO,60.0,0,1,12
FILETE MIGNON,250.0,11,36,1
HONEY BUN,340.0,15,5,45
CHICHARRON,137.0,9,14,0
LAYS,160.0,10,2,15
FUZE TEA,170.0,0,0,32
SUSHI BOWL,552.0,14,27,80
POLLO TERIYAKI,270.0,12,36,4
FIG BAR,100.0,1,1,21
MALTEADA DE PLATANO,686.0,34,12,72
PAY DE MANZANA,515.0,23,4,74
JAMON ,352.0,29,22,1
RIBEYE,800.0,270,52,0
GALLETAS CHOKIS,144.6,6.2,1.9,20.3
LIMON,17.0,0.14,0.64,5.5
GALLETAS SALADAS,448.0,12,9,76
FRIJOLES,110.0,2,7,16
BRISKET,232.0,10,32,0
ARROZ INTEGRAL,357.0,2,7,77
CABRITO ,161.0,8,20,0
PESCADO ,295.5,19.5,30,0
PALETAS DE SANDIA (CARAMELO),60.0,0,0,15
TOMATE,22.0,0.25,1,4.82
PAN HOTDOG,251.0,3,6,50
NARANJA,83.0,1,2,6
JOLLY RANCHER,132.0,0,0,33
BARRITA KELLOGS,102.5,2.5,1,19
LECHUGA,12.0,0,1,1
FRESAS,26.0,0,1,6
JUGO ADES,82.4,1.6,2.4,14.6
TOTOPOS,161.0,9,2,18
LOMO,386.0,21,50,0
HOT DOG,308.0,14,11,33
TOSTIELOTES,321.0,17,5,37
MANZANITA SOTO,230.0,0,0,13
CHULETA,290.0,25,16,0
PAPA COCIDA,86.0,0.1,2,19
DONA DE CHOCOLATE,133.0,9,2,13
CORNFLAKES,368.0,2,9,85
NIEVE DE ALMENDRA,116.2,5.8,1.8,14.2
BISTEC,221.0,9,32,3
CALDO DE POLLO,47.8,1.8,3.7,4.2
UVAS,61.0,0,1,16
TOCINO,427.0,41,14,0
TOSTADA,152.0,8.0,7,13
XX LAGER,29.0,0,0,2
PAN BLANCO,241.0,1,8,50
ESPARRAGOS ,18.0,0,3,1
DESHEBRADA,320.0,8,60,2
RAVIOLIS ,106.0,4,5,13
PLATANO,121.0,0.37,1.3,31.8
DULCE PELONPELORICO,120.0,0,0,29
SALMON ,154.0,8.2,20,0
MALTEADA DE CHOCOLATE,366.0,6,6,77
CEREAL CHOCOKRISPIS,330.0,1.5,6,75
PAPAS FRITAS,248.0,12,9,26
HAMBURGUESA MCDONALDS,307.0,14,15,30
YOGURTH NATURAL,75.0,4,5,6
HAMBURGUESA,265.0,20,15,5
